"広告主ID","広告主名","広告主サイトURL","会社名","プログラムID","プログラム名","プログラム内容","コメント・注意事項（プログラム）","提携ステータス","期間開始","期間終了","CPC報酬","定額報酬","定率報酬","注文発生対象・条件","成果の承認基準","成果の承認基準（その他）","成果対象外条件","成果対象外条件（その他）","コメント・注意事項（オファー）","MyLink対応","LinkSwitch利用可能","スマホ対応","ITP対応済","自己アフィリエイト可能","リスティング可否","カテゴリー1","カテゴリー2","カテゴリー3","カテゴリー4"
"3620655","オーディオブック配信 audiobook.jp","https://audiobook.jp/","株式会社オトバンク","2163815","オーディオブック配信サービス audiobook.jp","audiobook.jp（オーディオブックジェイピー）とは、プロのナレーターや声優が書籍を読み上げる「耳で聴く本」の配信サービスです。

◆audiobook.jpの紹介サイトを作成しました！◆
audiobook.jpの特徴やオススメ作品、訴求内容を記載したサイトです。
訴求の参考にしていただければ幸いです。
URLはこちら↓↓
https://special.audiobook.jp/affiliate/top

◆菊池雄星選手が公式アンバサダー就任！◆
菊池雄星選手は球界きっての読書家としても知られています。年間200冊という驚異的な読書量を誇る一方で目の疲労を考慮し、また長い移動時間を有効活用するため「オーディオブック」も積極的に活用しています。
素材一覧に追加しましたのでぜひご活用ください！

また、菊池雄星投手とティモンディの前田裕太さんが読書・野球を語る新トーク番組「U Say Books?～なんの本聴いてる？～」が配信されました。
YouTube配信URL
https://youtu.be/5Eeej8Xqezo
毎週金曜日に続きが更新されますの。ぜひご確認ください！","※聴き放題各プランへの無料トライアルが成果対象となります。
ぜひ14日間の無料期間後もご利用継続いただけるようにご紹介をお願いします。

◆日本語オーディオブック書籍ラインナップ数日本一◆
audiobook.jpは日本語オーディオブック書籍ラインナップ数日本一を獲得しており、オーディオブックサービスの中でも日本最大級のサービスで、聴き放題プランの対象作品も随時追加されていきます。
※日本マーケティングリサーチ機構2023年11月調査

◆セールスポイント◆
◇日本語オーディオブック書籍ラインナップ数日本一
◇ビジネス書籍ラインナップ数 日本1位
※日本マーケティングリサーチ機構2023年11月調査

◆ターゲット◆
・ビジネスパーソン
・語学力をつけたい方
・運動中や家事中に本を楽しみたい方

＜否認条件＞
・同一の方による繰り返しの無料トライアル
・リスティング違反の場合
・イタズラなど

◆提携について◆
獲得ユーザーの継続率が著しく悪い場合は提携解除となる可能性ございますので、ご了承ください。

◆サイト様へ◆
実績に応じ特別報酬もご用意します。ご自身でもお試しください","審査あり","2024/03/01","","","1500","","その他","","聴き放題プラン「月額プラン」もしくは「年割プラン」への無料トライアル","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","","","","","スマホ対応","ITP対応済","","一部可","","","",""
"3682281","Cha Cha Cha","https://chachacha-toy.com/","自立の株式会社","2166064","おもちゃのサブスク Cha Cha Cha販売促進プログラム","～報酬アップキャンペーン～
期間：2/15～4/15
報酬：3300円(税込)⇒5500円(税込)

Cha Cha Chaは0歳～6歳までのお子様に向けた知育おもちゃのサブスクリプションサービスです。

保育士等の有資格者が各年齢のお子様に合わせた知育玩具を2カ月に1回定期でお届け！
一回の配送で18,000円相当分以上の玩具を月額3,910円～ご利用いただけます。

また初回入会のお客様は初月が1円になるのでお得にご利用いただけます！

当サービスの最大の売りは、取り扱いおもちゃが載ったおもちゃカタログで、約80ページにもなるカタログから借りたいおもちゃも選べるという点。

■ターゲット層
・どんなおもちゃを子供に選んだらいいかわからない
・買っても子供がすぐに飽きてしまっては買うのがもったいない
・部屋がおもちゃでぐちゃぐちゃ（捨てられない）
・色々な種類のおもちゃに触れさせてあげたいけど高くて買えない","以下を否認条件とさせていただきます。

・未入金、即時解約（入会から発送前に当たる1週間以内の解約）、いたずら、虚偽
・商品受領の延期や受取拒否
・＜[法人]向けサービスお申込み＞からの申込
・リスティング違反の場合","即時提携","2025/04/16","","","3000","","申込完了","申込完了:本人利用・本人確認/配送確認","","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","・未入金、即時解約、いたずら、虚偽
・商品受領の延期や受取拒否
・＜[法人]向けサービスお申込み＞からの申込
・リスティング違反の場合","","","","スマホ対応","ITP対応済","自己アフィリエイト可能","一部可","幼児教育","","",""
"3691197","1stDogCafe","https://shopping.geocities.jp/1stdogcafe","アメニティコンダクツ株式会社","2166417","ペット用品・犬具「1stdogcafe」【店舗別プログラム】","テレビや雑誌にも取り上げられ注目を浴びているjuliusK9を販売する正規代理店のオンラインショップです。

◆セールスポイント◆
1．犬具もさながらドッグフードはリピート率ナンバーワン獲得！
2．正規代理店ならではの安心感！
3．送料無料！

◆ターゲットユーザー◆
ワンちゃんと過ごしているお客様を幅広く対象としています。
家具や雑貨もありますのでインテリア好きにもフォーカスしています。

◆おすすめの紹介方法◆
毎月5のつく日に行われるポイントキャンペーンはかなりの好評で5の付く日は売上が倍近くになります。

◆アフィリエイトサイトへのメッセージ◆
リピート率など定期的なお客様もつきますのでぜひ貴サイトでのご掲載をお願いいたします。","","即時提携","2023/06/20","","","440","","商品購入","商品購入:入金確認/申込確認","","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","","","","","スマホ対応","ITP対応済","","不可","ペット用品・サービス","","",""
"3660160","ローチケ旅行","https://tour.l-tike.com/","株式会社ローソンエンタテインメント","2165411","ローチケ旅行【国内航空券】予約プログラム","株式会社ローソンエンタテインメントが運営する旅行販売サイト「ローチケ旅行」です。
国内航空券の予約サービスのご紹介をお願いいたします。

◆セールスポイント◆
・リピート購入にも報酬をお支払い
・ローソングループならではの安心感


◆おすすめの紹介方法◆
毎月6のつく日に行われる「ローチケ旅行の日」はCVRが高くなるという実績データがございますので、ご紹介いただくのがおすすめです。
・ローソンWEB会員にログイン&amp;予約でPontaポイントがたまる（事前にローソンWEB会員にPontaID連携が必要です。）

◆アフィリエイトサイトへのメッセージ◆
ぜひ貴サイトでのご掲載をお願いいたします。","・キャンぺーン内容は予告なく変更となる場合がございます。最新の情報は弊社サイトにてご確認をお願いします。
・WEB注文後、入金確認および搭乗完了された方が対象です。
・国内航空券以外を購入された場合は成果対象外となります。","審査あり","2023/06/02","","","1000","","その他","","・WEB注文後、入金確認および搭乗完了された方が対象です。
・対象商品：国内航空券","虚偽、いたずら、重複
注文キャンセル（クーリングオフ）
登録不備","・WEB注文後、入金確認および搭乗完了に至らない場合
・「国内航空券」以外の商品を購入された場合
・キャンセル、転売目的の場合などは不可
・クレジットカードの不正利用
・広告主が商品の用意が出来なかった場合
・広告クリックから購入に至るまで、同一の標準ブラウザ内で遷移されていない場合
・サイト遷移後にリスティング広告や一般広告へアクセスして予約した場合","","","","スマホ対応","ITP対応済","自己アフィリエイト可能","不可","国内ツアー","国内航空券","旅行サービス",""
"3689917","ビバホームオンライン","https://www.vivahome.com/","アークランズ株式会社","2166363","ホームセンター「ビバホーム」公式通販サイト 【ビバホームオンライン】","ホームセンター「ビバホーム」の公式通販サイトです。
送料無料ラインは関東地方で5000円。在庫がある商品は13時までのご注文で当日発送。

BtoC商材はもちろんBtoB商材も多数取扱い中です。","・アフィリエイトサイト様向けに提供していないバナーや画像、サイトキャプチャなどのご利用はお断りしております。
・以下に該当する注文は成果対象外とさせていただきます。
　　＞商品受け取り拒否
　　＞海外発送商品","審査あり","2023/10/05","","","","1.7%","商品購入","商品購入:配送確認","","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","","","","","スマホ対応","ITP対応済","自己アフィリエイト可能","不可","ペット用品・サービス","ゴルフ・アウトドア","",""
"3690291","ELEVIN","https://www.elevin.jp/","株式会社ベルーナ","2166383","ELEVIN 販売プログラム","ワイン通販創業20年以上の実績と経験を基に、プリムールや希少ワインを販売する高級ワインサイト。徹底した品質管理のもと、最高品質の高級ワインを格安でお届け。","※ELEVIN以外からの購入は成果対象外となります。
「https://www.elevin.jp/」ドメイン以外のサイトでの購入は対象外です。","即時提携","2023/06/06","","","","1.9%","商品購入","商品購入:配送確認","","虚偽、いたずら、重複
注文キャンセル（クーリングオフ）","","※ELEVIN以外からの購入は成果対象外となります。
「https://www.elevin.jp/」ドメイン以外のサイトでの購入は対象外です。","MyLink対応","LinkSwitch利用可能","スマホ対応","ITP対応済","自己アフィリエイト可能","不可","ドリンク・お酒","","",""
"3661915","プチプラ","https://shopping.geocities.jp/petitprice/","有限会社フクチュー","2165450","ネイルグッズ プチプラ Yahoo店【店舗別プログラム】","楽天市場・Yahooショッピングでもネイルランキング常連のショップになります。ぜひ貴サイトでのご掲載をお願いします。","","即時提携","2023/05/31","","","","10%","商品購入","商品購入:入金確認","","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","","","MyLink対応","LinkSwitch利用可能","スマホ対応","ITP対応済","","可","美容関連","","",""
"3690345","アルシェセレクション","https://store.shopping.yahoo.co.jp/arche-selection/","有限会社アルシェ","2166385","アルシェセレクション【店舗別プログラム】","◆セールスポイント
1．カジュアルナイロンバッグ ブランド「ビサイユ」 専門オンラインショップならではの安心感！
2．平均購入単価12,000円と高く、楽天市場RPP広告でROAS1600％（2023年4月）をたたきだす高転換率ブランド

◆ターゲットユーザー
３０代～５０代の女性、男性

◆おすすめの紹介方法
ブログにて詳細の紹介記事を書くのにとても適しています。
１．高品質のナイロンを使用し縫製の技術も高い
２．スキミング防止機能付ポケットを標準装備
３．ポケットがたくさんあり迷子になりにくい
４．防犯機能で、海外旅行に便利
５．超軽量で持ち歩くのがとても楽


◆メッセージ
ショルダーバッグ、PC収納に便利でA4収納できるビジネスバッグ、リュックサック、お財布などのナイロン製品のバッグを販売。 海外旅行先ではスリやカードのスキミングなどいろいろな盗難にあう危険性格段に高いですが、スキミング防止機能のついたポケット、メインのファスナーにロック機能をつけて防犯性を上げたバッグを販売しております。 一度ブランドを知ったお客様は何度も購入していただけるバッグで、９回もリピ購入くださるお客様もいるほど人気。","・弊社のHP内の画像はご自由に使ってアフリエイトしていただいて結構です。ただし画像の使用は、弊社のページへのアフリエイトを目的とした場合で、それ以外の商用利用は不可です。
・以下に該当する注文は成果対象外とさせていただきます。
　　＞商品受け取り拒否
　　＞海外発送商品","審査あり","2023/07/14","","","","10%","商品購入","商品購入:本人利用・本人確認/入金確認/配送確認","","虚偽、いたずら、重複
注文キャンセル（クーリングオフ）","お客様に商品到着後１ヶ月以内に返品が発生した場合","","MyLink対応","LinkSwitch利用可能","スマホ対応","ITP対応済","","可","","","",""
"3687792","TastyTable FOOD","https://shopping.geocities.jp/tastytablefood/","株式会社ニューアクション","2166243","TastyTable FOOD Yahoo!店【店舗別プログラム】","TastyTable FOOD（テイスティーテーブルフード）
おうちでレストラン気分を味わえる パスタソース

この度、Yahoo!店をOPENしました。

■実績
・楽天で1番売れてるパスタソースになります
・好評、月間約50,000個を手作りしています
・楽天ランキングでは7部門で1位を獲得しています
・楽天のレビュー内容も高評価で、レビュー点数は4以上になります

■特徴
・レストランクオリティーのパスタソースが楽しめる
・機械製法では再現できない手作りでの丁寧な作り込み
・レストランの味わい、具がしっかり入っている
・調理は簡単、約10分で完成、冷凍でお届け、消費期限は約4ヵ月
・モール限定のパスタソースをご用意、3ヵ月に1度メニュー変更

楽天で大変好評をいただいている商品になります。
是非、Yahoo!店の掲載もお願いいたします。


■アフィリエイトサイトへのメッセージ
実績を出していただいたサイト様には特別報酬もご用意しております。ぜひご掲載をお願いいたします。","・TastyTable FOOD（テイスティーテーブルフード）のブランドイメージを壊さない表現で掲載を宜しくお願いいたします。
・虚偽、イタズラ、入力不備、キャンセル、不正集客、決済不可、返品、商品受取の延期、受取拒否は成果キャンセルさせていただきます。
・転売目的での購入も成果キャンセルさせていただきます。
・当社が指定したクリエイティブ以外の使用は禁止とさせていただきます。
・当社HP内記載の情報と異なる情報の記載。
・明らかに報酬目的であると弊社が判断した注文は成果キャンセルさせて頂く場合がございます。
・明らかな不正を確認した場合には、該当媒体の即時提携解除を行わせて頂くことがございます。
・Twitter上でのbot等による宣伝行為は固く禁止。
・リスティング違反の場合。
・2回目以降の購入データの場合。","審査あり","2023/05/11","","","","15%","商品購入","商品購入:入金確認","・広告主新規（当広告主を初めて利用する方）
・Webサイト経由にて購入後30日以内の決済確認
・複数個購入した場合も成果報酬は一律","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","","","MyLink対応","LinkSwitch利用可能","スマホ対応","ITP対応済","","一部可","お取り寄せ","","",""
"3663570","オーダースーツSADA","https://www.ordersuit.info","株式会社オーダースーツSADA","2165488","オーダースーツSADA｜オーダースーツの来店予約","■サービス/商品の概要

【カンブリア宮殿】と【ガイアの夜明け】で特集された日本最高峰のオーダースーツをご紹介。


■サービス/商品の強み

高品質のオーダースーツが適正価格で作成できます。

■集客ターゲット

営業マン、サラリーマンからトレンドを求める社会人、
または柔道やラグビー選手など体格の大きなリクルート学生もピッタリなオーダースーツが19800円で手に入ります。

■広告主からのメッセージ

【カンブリア宮殿】と【ガイアの夜明け】で特集されたオーダースーツの老舗です！
フルオーダーならではの高品質な縫製と、高性能な生地からオーダースーツでありながら適正価格でオーダースーツをお試しできます。","","即時提携","2024/12/06","","","3802","","予約完了","予約完了:来場","WEBサイトから来店予約を申し込んで、来店頂くことで成果とさせて頂きます。","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","来店予約だけで、来店が確認できない場合","2024/9/1以降、MyLinkは使用不可となります。","MyLink対応","LinkSwitch利用可能","スマホ対応","ITP対応済","","一部可","レディースファッション","メンズファッション","",""
"3674582","アルバイトEX","https://arubaito-ex.jp/","株式会社じげん","2165860","【アルバイトEX】有名20バイトメディアを一括比較","◆セールスポイント◆
アルバイトEXは大手求人メディア20社（マッハバイト、しゅふJOB、シフトワークスなど）
と提携しており、180万件以上のお仕事を一括検索・比較・応募できる点が魅力です。


◆ターゲットユーザー◆ 
特にNGセグメントもなく、男女比もほぼ5:5となっております。

 ◆おススメの提案の仕方◆ 
案件数の量と種類の豊富さを訴求していただきたいです。

◆広告主からのメッセージ◆
実績を出していただいたアフィリエイトサイト様には特別報酬もご用意しております。
皆様、どうぞよろしくお願い致します。","応募時にでたらめな個人情報が記載されているとすぐに判明しますので、不正応募とみなし、すべて拒否、提携解除させていただきます。","審査あり","2023/05/01","","","1500","","申込完了","申込完了:本人利用・本人確認","弊サイトの求人応募完了にて1成果となります。
送客可能な件数に応じて柔軟に特別単価の設定をさせていただきます。","虚偽、いたずら、重複
登録不備","ユーザーあたりの重複応募は成果にカウント致しません。
また、応募失敗などについても成果とカウント致しません。
応募フォームのドメインがhttps://arubaito-ex.jp/配下ではない求人は成果とカウント致しません。","","MyLink対応","LinkSwitch利用可能","スマホ対応","ITP対応済","","可","アルバイト","","",""
"3679604","東武オンラインショップ","https://www.tobu-online.jp/?_buyer=355&admage_adplus_xuid=355,0,835,xuidx8610a74da7xf82","株式会社東武百貨店","2166012","東武オンラインショップ","東武オンラインショッピングは、東武百貨店でお取り扱いしている商品を中心にオンラインで販売しております。
年間を通じてのお買い物はもちろん、お中元、お歳暮などの季節のご贈答品のお買い物にもおすすめです。

◆セールスポイント◆
1．リピート購入にも報酬をお支払い！
2．公式オンラインショップならではの安心感！
3．ギフト購入にも対応！

◆ターゲットユーザー◆
30～60代の男女

◆アフィリエイトサイトへのメッセージ◆
実績を出していただいたアフィリエイトサイト様には特別報酬もご用意しております。
ぜひ貴サイトでのご掲載をお願いいたします。","以下に該当する注文は成果対象外とさせていただきます。
・商品受け取り拒否
・海外発送商品
・不達
・返品
・未入金","即時提携","2024/05/24","","","","1.23%","商品購入","商品購入:入金確認/配送確認","","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","不達・未入金・返品","","","","スマホ対応","ITP対応済","自己アフィリエイト可能","一部可","コスメ・化粧品","お取り寄せ","スイーツ・お菓子",""
"3683337","ドクターシーラボ公式サイト","https://www.cilabo-shop.com/","JNTLコンシューマーヘルス株式会社","2166105","ドクターシーラボ公式オンラインショップ","☆ドクターシーラボ公式オンラインショップのご紹介☆

皮膚の専門家発の化粧品・健康食品・美容機器のお買い求めは安心の公式オンラインショップです。

ベスコス多数受賞のアクアコラーゲンゲルや口コミ・SNSでも話題のVC100エッセンスローションEXなど多数品揃え。
公式オンラインショップ限定の特別なキャンペーンやプレゼントなど様々な特典もご用意しています。
大切な方へのプレゼントにギフトラッピングサービスも行っております。

ぜひ、「ドクターシーラボ公式オンラインショップ」 をご紹介ください！！","・訪問者に対し当社公式サイトだと誤認させるようなサイト・ページの作成は禁止しております。

・（当社商標、ブランド、サービス名等を利用した）検索連動(リスティング）広告、
コンテンツ連動広告及びアドネットワーク等への出稿による集客は禁止しております。

・アフィリエイト広告記事を作成する際には、消費者に対してその記事全体が広告であることを
容易に理解できるよう、「アフィリエイト広告」、「広告」、「宣伝」、「プロモーション」、「PR」等
の明示的な表記を記事の最初など容易に伝わる位置に記載してください。

・広告を構成する記事の内容や表現について、法令違反である、
または法令違反の可能性があるものは使用しないでください。","即時提携","2023/03/30","","","","3%","商品購入","商品購入:本人利用・本人確認/入金確認","※指定日特別割引サービス「指定特割」をご注文の場合は、初回お届け分のみ成果対象となります。","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","※虚偽・不正・いたずら・キャンセル・申込不備・未入金・返品・転売目的・
　指定特割の2回目以降分は成果対象外となります。
※WEBでのご注文後、お電話等で注文内容のご変更（キャンセル、
　商品追加・変更）を受け付けた場合、 成果対象外となります。","","MyLink対応","LinkSwitch利用可能","スマホ対応","ITP対応済","自己アフィリエイト可能","一部可","美容関連","","",""
"2135779","ABLENET","http://www.ablenet.jp","株式会社ケイアンドケイコーポレーション","2166188","ABLENETレンタルサーバー(共用サーバー)","ABLENET（エイブルネット）はおかげ様で28周年！

27年間の安定稼働実績×最新技術で安定感のある共用サーバー。
無料ドメインでWordPressを使ったサイト運営に最適。

▼特徴▼
【WordPress高速化】
Webサーバーに軽量・高速なLiteSpeedを採用
LiteSpeedCacheでさらに高速化

【HTTP/2・HTTP/3対応】
次世代通信プロトコル(QUIC)に対応
Webページの表示速度とセキュリティが向上

【Acronis Backup】
信頼性の高いリカバリで14日間自動バックアップ
サーバーにあるデータを高速、確実に復元

【バックボーン国内最大級】
OPTAGE/IDCFrontier/NTT Communicationsの大手3社へ接続
3社のバックボーンは国内最大級のTire-1/2クラス

【転送量無制限】
複数大手通信会社の回線を独自の制御によって管理
いち早くリーズナブルな「転送量無制限」を実現

▼素材データ集▼
https://www.ablenet.jp/rentalserver/partner/sozai.html

#K&amp;K","こちらは【ABLENETレンタルサーバー(共用サーバー)】のアフィリエイトプログラムです。
ABLENET VPSのアフィリエイトをご希望のメディア様は下記より提携申請をお願いいたします。

プログラム詳細：ABLENET VPS
https://aff.valuecommerce.ne.jp/ad/adDetail/2022637","即時提携","2023/03/27","","","6500","","商品購入","商品購入:入金確認","・WEBより申込＋決済完了後、翌月10日までの利用が確認できた時点","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","","25年間の安定稼働実績×最新技術でしっかりとした安定感があるレンタルサーバー。
成約1件毎に、以下の報酬（税込）をお支払いします。

・ライトプラン：3,850円
・スタンダードプラン：5,500円
・プレミアムプラン：7,150円

成果対象：クレジットカード支払いでのご契約の確定（自己申込は対象外)
弊社の社名、サービス名、サイト名及びその派生語によるリスティング広告・キーワード広告は禁止","","","スマホ対応","ITP対応済","自己アフィリエイト可能","一部可","","","",""
"3679412","オリオンツアー旅行サイト","https://www.orion-tour.co.jp/air/","株式会社オリオンツアー","2166006","【オリオンツアー】JALで行く国内旅行(ツアー) 予約プログラム","JALで行く格安国内旅行をお探しならオリオンツアー！全国各地から出発OK！北海道から沖縄まで豊富なツアーをラインナップしています。航空券＋宿泊のシンプルなフリープランはもちろん、旅行会社ならではの素材を組み込んだスキーツアー、ゴルフツアー、九州・沖縄の離島ツアーに強みを持っています。

webサイトの基本構成として、旅行の目的地毎のページ構成となっていますが、スキー、ゴルフ、屋久島など特定のテーマに深掘りした特集ページも用意しておりますので、国内旅行全般のみならず特定地域の情報に強みをお持ちのアフィリエイトサイト様からの提携もお待ちしています。

【成果対象】
・航空機(JAL)を利用したツアー全商品
ツアーの出発が確定した時点で成果対象とします。自己購入もOKです。","【成果対象外】
・航空機(JAL)を利用しないツアー商品の予約
・弊社予約センター経由などオンライン以外での予約
・オリオンツアー旅行予約サイト（https://www.orion-tour.co.jp/air/）以外での予約

【禁止行為】
・弊社社名・ブランド名を利用した各種広告出稿
禁止行為が確認された場合は注文非承認、提携解除等を行う場合がありますので、あらかじめご注意ください。","即時提携","2023/03/08","","","1000","","予約完了","予約完了:入金確認","ツアーの出発が確定した時点で成果対象とします。","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","","","","","スマホ対応","ITP対応済","自己アフィリエイト可能","一部可","国内ツアー","国内航空券","旅行サービス",""
"3677894","AND PLANTS","https://andplants.jp/","株式会社Domuz","2165945","AND PLANTS","観葉植物・お花のオンラインストアです。

▼特徴
1.パーソナル植物診断機能
質問に答えるだけで自分にピッタリな植物を探すことができ、観葉植物初心者にも響くサイト設計になっています。

2.全品北欧デザインのお洒落な鉢付き
すべての植物に北欧デザインのおしゃれで、リサイクルプラスチックを80%使用しているエコなECO POTSがセット！
シンプルでどんなお部屋にも合うデザインなので、新しく植木鉢を探す必要がなく、届いてすぐにお部屋を素敵な空間にしてくれます。

3.ネットで植物を買う不安や面倒を最小化！
植物を配送する前の実物写真を送付、14日間以内に枯れてしまった場合の無料交換対応、植え替え・栄養剤・虫対策など面倒なことは全てされた状態で届く。

▼CVRが上がる紹介方法
「観葉植物　お洒落」などのワードで流入する事が多いため、部屋をお洒落にしたくて、植物の購入を検討しているが、どう選んだら良いかわからないという方に、診断機能の訴求や全品おしゃれな鉢付き！といったようなビジュアルの訴求がおすすめです。ギフトでの購入が増えており、無料でついてくるギフトメッセージの訴求も効果が高いです。","・未入金、返品、キャンセル、受取拒否
・虚偽、入力不備、なりすまし、不正
・LINE経由の購入
・リスティング違反の場合
・IE経由の申込（※IEはサービス対象外となり推奨環境ではございません。）","即時提携","2023/10/15","","","","6%","商品購入","商品購入:入金確認","","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","","","MyLink対応","LinkSwitch利用可能","スマホ対応","ITP対応済","自己アフィリエイト可能","不可","家具・インテリア・雑貨","ギフト・花","",""
"3676751","東邦ガス","https://www.tohogas.co.jp/2024_promotion/","東邦ガス株式会社","2165909","「東邦ガスのガス・電気セット契約」で引越し先の光熱費がおトクに！","◆ターゲット◆
・愛知・岐阜・三重に引越し予定の方
・(当社ガスをご利用中で)電気の切り替えをご検討の方
※電気のみの場合は中部電力エリアにおける切替申込
※上記地域以外の申込不可

◆おススメポイント◆
1 契約電流20A以上なら中部電力ミライズの基本プラン※1よりおトク※2　。ガス契約があればさらにおトクに！お使いのガス機器に応じた各種「割引」もご用意。
2 Club TOHOGAS会員なら、毎月のガス・電気のお支払いに応じて「がすてきポイント」がどんどん貯まります。ガス電気代金の支払いは勿論、商品への交換やプレゼント応募、提携ポイント・電子マネーにも交換可能です。毎月15日に抽選でデジタルギフトなどの賞品が当たる「がすてきくじ」も配信中！
3「料金割引」や「プレゼント」などの、おトクなキャンペーンを頻繁に実施しています。

※1　ポイントプラン、おとくプラン
※2　当社のファミリープランと中部電力ミライズの基本プラン（ポイントプラン、おとくプラン）との比較です（2025年1月現在）。契約電流15A以下の場合、使用量によってはおトクにならない場合がございます。なお、中部電力ミライズおよび東邦ガスの電気料金に係る割引は含んでおりません。","■以下に該当する注文は成果対象外とさせていただきます。
・不正、いたずら
・1世帯2回以上の申込（同じ設備に対する重複申込の場合は重複申込の全てを否認とします）
・引越し時の再申込
・サービス供給対象エリア外からの申込
・リスティング違反の場合
・(「ガスのみ」「ガス+電気」の申込の場合)引越しを伴わない申込
・(「電気のみ」の申込の場合)引越しを伴う申込およびガス契約先変更を伴う「電気」の申込
※管理画面反映時は「電気ガス」の成果報酬となり、成果承認のタイミングで正しい成果単価が反映されます。
※2025/2/14より「電気のみ」の成果地点追加　（ポイントサイトは除く）
※2025/7/20よりポイントサイトも「電気のみ」の成果地点追加

【※重要※】
消費者庁が発表した23年10月以降のステマ規制対策の一環として、
記事公開に際しASPを通して広告主の記事確認が必須となります。
※未申請の記事が発見された場合、当該媒体様の提携解除及び保留成果の却下を行う可能性がございます。
 
申請の際は下記メールアドレスに記事URLのご共有をお願い致します。
tohougas@valuecommerce.co.jp","審査あり","2025/11/20","","","7980","","申込完了","申込完了:開通・開設","【ガスのみ・ガス＋電気】
申込完了:開通・開設
・広告主新規（当広告主を初めて利用する方）
・WEB申込後、60日以内の供給開始
・引越しを伴う「ガス+でんき」「ガスのみ」の申込みが対象

【電気のみ】
申込完了:開通・開設
・広告主新規（当広告主を初めて利用する方）
・WEB申込後、60日以内の電気供給開始
・他社電気小売事業者からの「でんき」契約先切り替え申込みが対象

※電気のみの申し込みを計測するためには下記IDの広告素材をご利用ください
　広告ID：2914262（こちらの素材でない場合正確に計測できず、成果対象外となる可能性があります）","虚偽、いたずら、重複
登録不備
注文キャンセル（クーリングオフ）","【ガスのみ・ガス＋電気】
・不正、いたずら
・1世帯2回以上の申込（同じ設備に対する重複申込の場合は重複申込の全てを否認とします）
・サービス供給対象エリア外からの申込
・リスティング違反の場合
・「電気のみ」の申込みの場合
・引越しを伴わない申込

【電気のみ】
・不正、いたずら
・1世帯2回以上の申込（同じ設備に対する重複申込の場合は重複申込の全てを否認とします）
・サービス供給対象エリア外からの申込
・リスティング違反の場合
・引越しを伴う「ガス+でんき」「電気のみ」申込み
・ガス他小売からのガス契約先切り替え申し込みを伴う「電気」契約先切り替え申込み","【※重要※】
消費者庁が発表した23年10月以降のステマ規制対策の一環として、
記事公開に際しASPを通して広告主の記事確認が必須となります。
※未申請の記事が発見された場合、当該媒体様の提携解除及び保留成果の却下を行う可能性がございます。
 
申請の際は下記メールアドレスに記事URLのご共有をお願い致します。
tohougas@valuecommerce.co.jp

お手数をおかけいたしますが、ご協力のほど宜しくお願い致します。","","","スマホ対応","ITP対応済","","一部可","","","",""
"3672710","オーサムウォッシュ","https://awesome-wash.com/","HIPSTER株式会社","2165837","洗濯代行オーサムウォッシュ_新規会員登録（月額）","プログラム内容
近年、都内を中心に市場が拡大しつつある洗濯代行サービスです。新規会員登録（月額）が成果地点となります。

◆セールスポイント◆
業界最安値の料金設定
スマホで簡単操作、マイページが充実
土曜日や祝日も集配可

◆おすすめの紹介方法◆
▼競合優位性
・業界最安値の料金設定
・月額プランは月単位で変更可。時期によって最適なプランを選択できます
・”繰り越し機能”により前月の残回数が翌月以降に利用できます
・”曜日固定”を設定すると都度の集配依頼が不要になり便利
・祝日や土曜日の集配も可能（日曜日は定休日）
・柔軟剤やたたみ方の指定が可能（無料）
・不在の集配が可能（宅配ボックスの利用または置き配）
・集配は15時から22時で選択可能","◆注意事
・アフィリエイトサイトさま向けに提供していないバナーや画像、サイトキャプチャなどのご利用はお断りしております。これらに該当した場合、事前に告知なく提携排除・発生注文の全否定となりますのでご注意ください。

以下に該当する注文は成果対象外とさせていただきます。
・提供エリア外からの新規会員登録","審査あり","2023/02/15","","","4000","","会員登録","会員登録:本人利用・本人確認","","虚偽、いたずら、重複","","","","","スマホ対応","ITP対応済","","不可","","","",""
